PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/25/18 18:00,PLMN,N406,99.9477,99.7024,99.1678,98.1181,98.4457,99.8045,98.2116,501.166,177.6352,932.3701,7.9188,8.8203,0.47,3.3415,0.5559,0.5359,4804.1691,495.3939,100,5.1883,0.1288,0.0712,3.5041,1.27
2/25/18 18:00,PLMN,N407,99.9925,99.8149,99.6982,99.749,98.7432,99.9659,98.6859,1411.1278,255.2736,1545.0845,6.2877,7.4634,0.3087,1.6781,0.5147,0.5281,4031.9262,400.0379,100,3.479,0.2698,0.1683,1.3186,0.74
2/25/18 18:00,PLMN,N408,99.9956,99.8107,99.7515,99.7924,98.6521,99.9687,97.6862,2004.8178,240.925,1419.5325,5.4515,6.6792,0.2856,1.5269,0.4922,0.5046,4179.9381,377.4601,99.5951,3.3468,0.2942,0.1971,0.436,0.58
2/25/18 18:00,PLMN,N601,99.9705,99.6054,99.586,99.4002,98.121,99.6362,98.3462,313.8144,169.1958,818.0948,7.4178,8.5318,0.4993,2.6771,0.7169,0.7207,4287.2854,478.8188,99.2509,3.7968,0.1905,0.1254,3.5259,1.17
2/25/18 18:00,PLMN,N602,99.9935,99.7898,99.6748,99.4894,98.7955,99.9473,98.4071,1010.3627,253.1009,1563.7101,6.2913,7.5969,0.2852,1.4581,0.3984,0.4193,4164.4145,406.7169,97.1667,3.0927,0.2727,0.2007,1.6285,0.63
2/25/18 19:00,PLMN,N103,100,99.8444,99.8346,99.866,99.272,99.9738,96.9388,1686.4158,160.3082,815.1167,2.5381,3.1916,0.2779,0.6327,0.4311,0.3947,4170.0453,239.0415,99.6403,2.9254,0.1526,0.0721,0.1741,0.33
2/25/18 19:00,PLMN,N104,100,99.6978,99.625,99.7074,98.8027,99.9634,98.665,419.1592,117.2422,705.0513,7.0669,8.2468,0.573,0.9177,0.5863,0.4654,4695.2525,552.2052,100,3.1196,0.0943,0.0492,2.3171,0.51
2/25/18 19:00,PLMN,N105,99.9039,99.6164,97.832,98.7957,98.6325,99.9372,97.6862,429.1937,144.8332,733.1466,6.4409,7.627,0.5208,1.6405,0.9304,0.8206,3799.2834,421.5276,99.8028,2.7809,0.1889,0.1168,1.2078,0.7
2/25/18 19:00,PLMN,N107,99.9927,99.7993,99.5846,99.6363,98.9492,99.9501,97.8552,1236.045,140.0351,680.4723,3.3396,4.1186,0.5187,1.2141,0.7066,0.6293,3821.4145,283.3548,98.2759,3.0521,0.1821,0.0975,0.2309,0.62
2/25/18 19:00,PLMN,N108,100,99.7556,99.6509,99.7495,98.757,99.9545,96.7652,710.2665,135.8661,808.0212,5.0563,6.2639,0.5102,0.9163,0.5954,0.5304,4151.025,405.496,99.5968,3.4811,0.1437,0.0798,4.3851,0.44
2/25/18 19:00,PLMN,N109,99.9994,99.7161,99.6744,99.7308,98.5996,99.9499,95.5556,798.6346,147.1141,877.382,7.1731,8.7688,0.3529,1.2948,0.4338,0.4504,4007.4086,480.0913,99.4609,3.0443,0.147,0.0908,1.0299,0.58
2/25/18 19:00,PLMN,N110,99.9567,99.7027,99.5137,99.5786,98.6321,99.8769,98.5844,666.5815,133.5366,759.0705,5.5965,6.8436,0.6803,1.4755,0.7447,0.6352,4238.2632,381.1103,100,2.1513,0.5464,0.4671,6.7997,0.71
2/25/18 19:00,PLMN,N112,99.9994,99.7996,99.7427,99.7964,98.985,99.9652,96.6981,500.5822,128.5279,705.2845,6.0161,7.3733,0.4168,1.0343,0.4951,0.4659,4190.0017,461.8371,100,2.1958,0.0965,0.075,0.8131,0.53
2/25/18 19:00,PLMN,N114,100,99.6831,99.6035,99.7143,98.7933,99.9538,98.2249,752.2028,124.6708,700.2449,6.2784,7.5621,0.4182,1.1171,0.7374,0.6399,3984.8602,401.229,99.7455,2.781,0.0589,0.0343,4.095,0.49
